gene_name,b_number,Ref_seq,WG_1.11,WGM_0.62,WGMC_0.62,WHIC_0.35,Pearson,Slope
yghA,b3003,WP_000018760.1,0.047022107,1.051384784,1.293626856,2.615004195,-0.95433299,-3.185102648
cbpM,b0999,WP_000024560.1,0.442726749,1.479137029,0.880523162,1.8515607,-0.907311013,-1.791134604
mdtF,b3514,WP_000024872.1,-1.615368589,1.369912883,1.457870368,0.984723001,-0.850765538,-3.915747392
yqjD,b3098,WP_000031415.1,-0.00054782,0.621706694,1.051850062,1.504889196,-0.954531502,-1.932113367
yhbO,b3153,WP_000037608.1,0.100273279,0.947881858,1.160626476,2.349698352,-0.948505407,-2.77833515
narZ,b1468,WP_000040458.1,0.030991436,1.232531937,1.015610564,2.267048891,-0.971840411,-2.814747266
yccX,b0968,WP_000048252.1,0.321981486,0.68084895,0.95315966,1.587630705,-0.917249105,-1.5479844
yafL,b0227,WP_000056849.1,-0.672074754,0.110696928,0.419486201,0.654284937,-0.972623398,-1.775191741
elaB,b2266,WP_000070621.1,0.108518749,0.787424894,1.424745396,2.209637391,-0.930121842,-2.634083954
yagT,b0286,WP_000070700.1,0.149036694,1.266454933,0.974893257,2.6260539,-0.932015445,-3.030610522
tesB,b0452,WP_000075876.1,-0.833525472,-0.228157122,0.203777385,0.936215087,-0.940715788,-2.211740107
katE,b1732,WP_000077872.1,0.521231987,1.303744605,1.594094337,2.75443436,-0.941121158,-2.751201045
tktB,b2465,WP_000087280.1,0.078228759,1.217645532,0.825641898,1.873039203,-0.963622815,-2.283446458
cfa,b1661,WP_000098896.1,-0.303236672,0.438873659,0.918972035,1.208926428,-0.954968695,-1.992324875
dps,b0812,WP_000100800.1,0.671120163,1.763543564,1.911356868,2.121993646,-0.975004356,-1.993453598
rcsA,b1951,WP_000104001.1,-1.064428664,-0.397694573,0.031400756,1.735316775,-0.887198681,-3.346155735
potH,b0856,WP_000105430.1,-0.556443498,0.307168046,0.446916606,0.856797836,-0.995156087,-1.86768652
ybiV,b0822,WP_000114272.1,-0.990444898,-0.364084425,0.5179786,1.011292187,-0.904296506,-2.552268763
potF,b0854,WP_000126072.1,-0.695235748,0.128734,0.468155653,1.557449789,-0.949024967,-2.796369766
fbaB,b2097,WP_000129551.1,0.87911234,1.631263273,1.881484136,2.782974754,-0.958857622,-2.377048968
osmC,b1482,WP_000152305.1,0.38753802,1.299731902,1.585459422,2.314703936,-0.980250811,-2.467215896
rcnB,b2107,WP_000153067.1,-0.497390171,-0.201221555,0.41292597,0.949686435,-0.875018637,-1.783504681
ycaC,b0897,WP_000165879.1,0.258315509,1.564864535,2.005070418,3.010516191,-0.979854865,-3.530730934
ybiU,b0821,WP_000168797.1,-0.634839355,0.116712189,0.301991563,1.552780046,-0.931977361,-2.671443471
mliC,b1639,WP_000178044.1,-0.562636209,0.535877729,0.731394917,1.400546554,-0.994022864,-2.557741364
msyB,b1051,WP_000180056.1,0.189122211,0.660539815,0.67342423,2.171750387,-0.850949491,-2.316114113
galF,b2042,WP_000183060.1,-0.247052753,0.146301583,0.306611028,1.017427862,-0.922394841,-1.538857415
nagC,b0676,WP_000187594.1,0.27708751,2.465478374,2.356824681,2.639934794,-0.949635162,-3.33224463
yhjD,b3522,WP_000191237.1,0.563155777,0.776429266,1.347188815,1.81806651,-0.857830561,-1.537713017
phrB,b0708,WP_000207142.1,0.184925998,0.780749574,0.520828194,1.42864468,-0.910528022,-1.513637386
sotB,b1528,WP_000210799.1,-1.054179991,-0.225661577,0.345040465,0.069110566,-0.848027778,-1.62045553
hchA,b1967,WP_000218212.1,0.709088517,1.885983966,2.140004996,2.599803541,-0.989893544,-2.518817012
ecnB,b4411,WP_000239596.1,0.710457525,1.349377776,2.30048667,2.469185037,-0.882967838,-2.307007836
gadC,b1492,WP_000246019.1,-1.110620057,3.615296699,3.907324318,4.510398428,-0.960981992,-7.852254469
ppiB,b0525,WP_000255997.1,-0.422196297,0.03341173,0.435325306,0.771664565,-0.939806526,-1.529501196
appC,b0978,WP_000263582.1,0.293265841,1.078672606,1.033578542,1.547344569,-0.998124091,-1.633400323
nagA,b0677,WP_000271153.1,0.173246314,4.023757803,4.137976461,4.692022555,-0.962362226,-6.309207605
ygaC,b2671,WP_000281320.1,0.076575633,1.05211139,0.563654654,1.563792969,-0.928485358,-1.873677125
bfd,b3337,WP_000289085.1,0.209307262,0.822972565,0.754253659,1.439963181,-0.969048187,-1.540999725
tomB,b0461,WP_000344800.1,-0.893560505,0.114237974,-0.136900785,0.33562165,-0.976868143,-1.650147562
ydfJ,b1543,WP_000347482.1,-0.794518337,0.570276311,0.403230498,0.869592123,-0.982469328,-2.265788604
glgS,b3049,WP_000350095.1,0.619362138,1.338155707,1.796924307,2.260279176,-0.959388722,-2.118968438
gadB,b1493,WP_000358930.1,-0.993439244,3.529129219,3.925840143,4.623767622,-0.967741479,-7.792934076
yfdC,b2347,WP_000368140.1,0.203205441,0.845570061,1.307021416,1.76855318,-0.952499536,-2.009896802
yjdI,b4126,WP_000371704.1,-0.047661393,0.787122878,1.161676297,1.238393952,-0.947782079,-1.762694233
gadA,b3517,WP_000372240.1,-0.667663325,3.445784361,4.775356157,5.025823578,-0.949221577,-7.896274303
nudC,b3996,WP_000373940.1,-0.567831179,0.167933714,0.442714393,1.013324723,-0.977228745,-2.026994828
yccA,b0970,WP_000375136.1,-0.350558374,0.088980471,0.085358292,1.328672894,-0.863684195,-1.973746146
ybjO,b0858,WP_000389260.1,-0.663030753,0.393411805,0.793372397,0.805193153,-0.937923813,-2.045128891
mscS,b2924,WP_000389818.1,-0.780393659,0.256405125,0.753560699,1.30105965,-0.972674236,-2.718058319
yjdJ,b4127,WP_000405651.1,-0.037725608,0.959929222,1.323837458,1.49968011,-0.963963782,-2.09177083
chbB,b1738,WP_000412169.1,-0.49074687,0.847923455,0.683735624,1.290437974,-0.9928478,-2.383211961
cbpA,b1000,WP_000420621.1,0.172047231,1.584291327,1.42827393,1.387553518,-0.873478434,-1.800616275
yiaG,b3555,WP_000455798.1,0.041775446,1.202810448,1.706252907,2.949238603,-0.961199255,-3.656791996
appB,b0979,WP_000460803.1,-0.195274919,0.637470858,0.75974557,1.826372506,-0.958336445,-2.51034416
yibI,b3598,WP_000479624.1,1.26171438,2.633811911,1.831546807,3.213564203,-0.905458707,-2.463135062
csgD,b1040,WP_000481509.1,-1.280658747,1.200918462,0.282119938,1.437487253,-0.944473916,-3.67509812
hdhA,b1619,WP_000483353.1,0.307990012,0.988004739,1.199509899,2.048120236,-0.956682196,-2.166755489
ytjA,b4568,WP_000490275.1,-0.207344848,1.001316468,1.368577051,3.199549943,-0.940568605,-4.188743382
bdm,b1481,WP_000495771.1,-0.531939069,0.900762264,1.602648298,2.48620334,-0.971752849,-3.911921441
osmB,b1283,WP_000498253.1,-0.398843325,1.334913463,1.298958855,2.427432937,-0.998589714,-3.679878792
tatE,b0627,WP_000503931.1,-0.115038337,0.570967755,0.31620022,1.422109429,-0.911879914,-1.864478164
yqaE,b2666,WP_000508177.1,0.10152238,0.361330483,0.403823715,1.448004397,-0.829118949,-1.557071036
ygaU,b2665,WP_000522415.1,0.429060306,1.143177343,1.580945009,2.441655378,-0.946013421,-2.514867046
yqjG,b3102,WP_000531213.1,0.528120183,0.992487584,1.000872258,2.039672816,-0.894069088,-1.803908862
ivy,b0220,WP_000532698.1,0.005601538,0.758330335,1.318415255,2.544202386,-0.923265691,-3.119475288
trxB,b0888,WP_000537418.1,-0.473637325,-0.239311384,0.171147647,0.955715291,-0.860211567,-1.704522102
yfcG,b2302,WP_000566471.1,0.26366647,0.721643547,0.584976062,2.122478648,-0.828157403,-2.150132019
