b_accession,cog
b0605,oxidative stress
b0606,oxidative stress
b4401,regulation
b3237,regulation
b1412,oxidative stress
b0435,regulation
b0882,proteostasis
b2592,proteostasis
b0437,proteostasis
b0438,proteostasis
b3912,regulation
b3357,regulation
b3556,regulation
b1275,regulation
b0161,proteostasis
b3234,proteostasis
b0145,regulation
b3701,replication
b3860,proteostasis
b2209,proteostasis
b3261,regulation
b4207,proteostasis
b3347,proteostasis
b0028,proteostasis
b1923,flagellar
b1334,regulation
b0094,cell division
b3463,cell division
b3464,cell division
b0095,cell division
b0683,regulation
b2042,antigen biosynthesis
b2553,regulation
b0838,M
b3699,replication
b1967,M
b3510,acid resistance
b3509,acid resistance
b1619,M
b4174,regulation
b1103,M
b0178,proteostasis
b1237,regulation
b3401,proteostasis
b3931,proteostasis
b0473,proteostasis
b4000,regulation
b0440,regulation
b3686,proteostasis
b1712,regulation
b0912,regulation
b0382,regulation
b2531,regulation
b2524,regulation
b0220,host interaction
b2569,E
b0891,E
b0439,proteostasis
b3147,M
b0889,regulation
b1516,M
b1517,M
b4037,unknown
b0806,antigen biosynthesis
b1048,osmotic stress
b3938,regulation
b1175,cell division
b1174,cell division
b3742,replication
b0782,unknown
b2684,regulation
b3251,cell division
b2113,M
b1051,unknown
b1976,regulation
b0675,M
b3998,DNA repair
b0851,M
b3414,E
b3661,unknown
b3405,regulation
b1482,osmotic stress
b1739,osmotic stress
b4376,osmotic stress
b0113,regulation
b2908,proteostasis
b3847,proteostasis
b1127,proteostasis
b1130,regulation
b3863,DNA repair
b3363,proteostasis
b0525,proteostasis
b3775,proteostasis
b1830,proteostasis
b3498,proteostasis
b1304,regulation
b3204,regulation
b1658,regulation
b2597,regulation
b2217,regulation
b0393,DNA repair
b2699,DNA repair
b0610,regulation
b3929,regulation
b4255,regulation
b2009,regulation
b0098,protein translocation
b3609,protein translocation
b0687,regulation
b3349,proteostasis
b1743,proteostasis
b4059,replication
b2669,regulation
b0053,proteostasis
b4252,regulation
b2834,unknown
b3244,proteostasis
b1324,oxidative stress
b3871,regulation
b2426,unknown
b2319,unknown
b3495,general stress
b1333,general stress
b1376,general stress
b0607,general stress
b0422,DNA repair
b1749,DNA repair
b0006,oxidative stress
b0163,unknown
b0324,unknown
b0325,M
b0329,unknown
b0391,unknown
b0434,unknown
b0424,oxidative stress
b0419,unknown
b0426,unknown
b0471,unknown
b0453,unknown
b0492,proteostasis
b0599,unknown
b0631,unknown
b0643,unknown
b0660,unknown
b0686,M
b0753,unknown
b0773,unknown
b0800,unknown
b0801,unknown
b0819,M
b0820,unknown
b0897,unknown
b0927,unknown
b1003,unknown
b0965,unknown
b1035,unknown
b1088,unknown
b1087,unknown
b1056,unknown
b1128,regulation
b1108,unknown
b1180,unknown
b1219,unknown
b1257,unknown
b1251,unknown
b1267,unknown
b1406,unknown
b1414,unknown
b1431,unknown
b1498,unknown
b1541,unknown
b1614,unknown
b1604,unknown
b1667,unknown
b1765,unknown
b1780,unknown
b1783,regulation
b1864,unknown
b1847,unknown
b1832,M
b1836,unknown
b1839,unknown
b1930,unknown
b2012,unknown
b1983,unknown
b2007,unknown
b2016,unknown
b2080,unknown
b2171,unknown
b2293,M
b2294,unknown
b2343,unknown
b2431,M
b2494,proteostasis
b2495,unknown
b2581,unknown
b2665,unknown
b2909,unknown
b2898,unknown
b2959,unknown
b2962,oxidative stress
b2989,unknown
b3038,unknown
b3024,unknown
b3448,unknown
b4554,unknown
b3764,unknown
b4045,unknown
b4391,regulation
b1452,unknown
