gene,b_accession
insL-1,b0016
hokC,b4412
mokC,b0018
sokC,b4413
nhaA,b0019
nhaR,b0020
insB-1,b0021
insA-1,b0022
fhuA,b0150
fhuC,b0151
fhuD,b0152
fhuB,b0153
ykfI,b0245
yafW,b0246
ykfH,b4504
ykfG,b0247
yafX,b0248
ykfF,b0249
ykfB,b0250
yafY,b0251
yafZ,b0252
ykfA,b0253
perR,b0254
insN-1,b0255
insI-1,b0256
insO-1,b0257
ykfC,b0258
insH-1,b0259
mmuP,b0260
mmuM,b0261
afuC,b0262
afuB,b0263
insB-2,b0264
insA-2,b0265
ykgN,b4505
yagB,b0266
yagA,b0267
yagE,b0268
yagF,b0269
yagG,b0270
yagH,b0271
yagI,b0272
argF,b0273
insB-3,b0274
insA-3,b0275
yagJ,b0276
yagK,b0277
yagL,b0278
yagM,b0279
yagN,b0280
intF,b0281
yagP,b0282
yagQ,b0283
yagR,b0284
yagS,b0285
yagT,b0286
yagU,b0287
ykgJ,b0288
yagV,b0289
yagW,b0290
yagX,b0291
yagY,b0292
yagZ,b0293
ykgK,b0294
ykgL,b0295
ykgO,b4506
ykgM,b0296
eaeH,b0297
insE-1,b0298
insF-1,b0299
ykgA,b0300
ykgB,b0301
ykgI,b0303
ykgC,b0304
ykgD,b0305
ykgE,b0306
ykgF,b0307
ykgG,b0308
ykgH,b0310
yahA,b0315
yahB,b0316
yahC,b0317
yahD,b0318
yahE,b0319
yahF,b0320
yahG,b0321
yahH,b0322
yahI,b0323
yahJ,b0324
yahK,b0325
yahL,b0326
yahM,b0327
yahN,b0328
yahO,b0329
prpR,b0330
prpB,b0331
prpC,b0333
prpD,b0334
prpE,b0335
codB,b0336
codA,b0337
cynR,b0338
cynT,b0339
cynS,b0340
cynX,b0341
lacA,b0342
lacY,b0343
lacZ,b0344
lacI,b0345
mhpR,b0346
mhpA,b0347
mhpB,b0348
mhpC,b0349
mhpD,b0350
mhpF,b0351
mhpE,b0352
mhpT,b0353
yaiL,b0354
yaiO,b0358
yaiX,b4579
insC-1,b0360
insD-1,b0361
yaiP,b0363
yaiS,b0364
tauA,b0365
tauB,b0366
tauC,b0367
tauD,b0368
ykiB,b0370
yaiT,b4580
insF-2,b0372
insE-2,b0373
yaiV,b0375
ampH,b0376
sbmA,b0377
yaiW,b0378
yaiY,b0379
yaiZ,b0380
rhsD,b0497
ybbC,b0498
ylbH,b0499
ybbD,b0500
ylbG,b0502
intD,b0537
ybcC,b0539
ybcD,b4508
insE-3,b0540
insF-3,b0541
renD,b0542
emrE,b0543
ybcK,b0544
ybcL,b0545
ybcM,b0546
ybcN,b0547
ninE,b0548
ybcO,b0549
rusA,b0550
ylcG,b4509
ybcQ,b0551
insH-2,b0552
nmpC,b0553
essD,b0554
ybcS,b0555
rzpD,b0556
rzoD,b4510
borD,b0557
ybcV,b0558
ybcW,b0559
nohB,b0560
tfaD,b0561
ybcY,b0562
ylcE,b0563
appY,b0564
ompT,b0565
