Name,gene,locus_tag,Stationary rep1,Stationary rep2,Stationary rep3,3h fresh media rep1,3h fresh media rep2,3h fresh media rep3,3h queueing rep1,3h queueing rep2,3h queueing rep3,3h amp media rep1,3h amp media rep2,3h amp media rep3,3h queueing amp rep1,3h queueing amp rep2,3h queueing amp rep3,6h amp media rep1,6h amp media rep2,6h amp media rep3
aaaD CDS,aaaD,b4634,2,3,2,311.5,215,5.5,8.5,120.5,16,121,152,32.5,55,14.5,12,6,3.5,2.5
aaaE CDS,aaaE,b4693,0,1.17,5.83,980.83,582.67,24.5,3.33,323.5,40.33,377.5,360,88.67,154.83,69.67,53.83,3.33,2,6.33
aaeA CDS,aaeA,b3241,3,4,11.5,1272.5,820.5,488,140.5,553,575.5,452,687,1055,462,612.5,548,49.5,75,64
aaeB CDS,aaeB,b3240,3,13,9,3021,1713,473.5,67.5,1345,606.5,1371,2125.5,1013,520,646.5,590.5,43.5,81,124
aaeR CDS,aaeR,b3243,3.5,10,12,2038,1165.5,1240.5,516.5,968,2107.5,1014,1874.5,4226,752.5,2348,2532,146,162.5,181
aaeX CDS,aaeX,b3242,2,2,3.5,545,322,475,171,249.5,759,212,371,1397,335,806.5,754,46,58,95.5
aas CDS,aas,b2836,19,7,25,2872,1879,1431.5,161,1592,1683.5,1495,2870,3014,670,2402,1971.5,165,177,218
aat CDS,aat,b0885,2,5,12.5,1177.5,797,274,109,714,499.5,805,1048.5,986.5,393,559,491,76,88.5,101
abgA CDS,abgA,b1338,3,10,19,1909.5,1364,135.5,7.5,750.5,402.5,769.5,830.5,527.5,288.5,381.5,245.5,20,24.5,32
abgB CDS,abgB,b1337,5,5,16,1991.5,1210,138.5,52.5,876.5,491.5,972,1217.5,708,365.5,467.5,329,33,19,64.5
abgR CDS,abgR,b1339,2,4,10,1100,783,255,44,566,545,539,665,671,280,442,425,37,16,20
abgT CDS,abgT,b1336,7,1,9,1802.5,1038,63.5,34,736,129,684,758.5,335,319,250,208,13,22,30.5
abpA CDS,abpA,b2628,11,18.5,18.5,1863.5,1397.5,786,217,860,1129.5,912.5,1264.5,1477,501.5,1135,1034,92.5,128.5,129
abpB CDS,abpB,b2627,9,1.5,13.5,2097.5,1452.5,600,158,842,784.5,698.5,1104.5,1297,498.5,763,757,121.5,137.5,146
abrB CDS,abrB,b0715,3,8,14.5,1782,950.5,294.5,112.5,901.5,315.5,1134.5,1397,1010,400,716,989,64,31,46.5
accA CDS,accA,b0185,17,8.5,21.5,2670.5,1257.5,11096,951.5,1192,13507.5,1588,7120,14932.5,1877,10851,9870,996,990,1281
accB CDS,accB,b3255,4,17,21,2165,1003.5,8673,1142.5,1051.5,8432.5,1479.5,3516,11106,2124,8356.5,9518,1353.5,1227.5,1842
accC CDS,accC,b3256,14,18,37,4770.5,2163.5,22101,1987,2487.5,19820,2945.5,10789,24824.5,3334.5,18627.5,23063,3015.5,2771.5,4285
accD CDS,accD,b2316,15,10,17.5,2620.5,1994,11141.5,1042.5,1866,12183,1690,8512,19602,2059,15006.5,13898.5,2910,2920,4381.5
aceA CDS,aceA,b4015,22.5,5.5,35.5,5377.5,2195.5,13499,357.5,1121,5625,1666.5,6439,6601.5,3146,4718.5,6477,614,605,1019.5
aceB CDS,aceB,b4014,36.5,22.5,30.5,5184.5,2383.5,18472,466.5,1280,4753,2532.5,6298,6946.5,3979,5719.5,9588,528,541,938.5
aceE CDS,aceE,b0114,58,48.5,59,11328.5,5468.5,49558,5564,6738,71591.5,3663.5,46466.5,96741,5539.5,75400.5,81034.5,13987.5,13150.5,20316
aceF CDS,aceF,b0115,34,26.5,50,9633.5,4827.5,43109,3883,4911,71757.5,3282.5,43196.5,87136,4538.5,63496.5,74235.5,10671.5,9823.5,14566
aceK CDS,aceK,b4016,43,30,35.5,3146,1669,1145.5,92,1273.5,788.5,1354.5,2595,1171.5,960.5,843,824.5,125,139,203
ackA CDS,ackA,b2296,83,65,62.5,1767,1118,2542.5,604.5,1009.5,3748.5,764.5,2086,5116,1032,3050.5,2440,1735.5,1576,2141
acnA CDS,acnA,b1276,110.5,45.5,63.5,11515,4061,33154,2961,2404.5,49726,3775,48187.5,70247,4479.5,46785,40857,331,299,353
acnB CDS,acnB,b0118,49,92,164,23934,12458,107328,7491,9380,135969,11360,73748,187284,20165,123561,99616,3934,3665,5770
acpH CDS,acpH,b0404,19.5,5.5,4,1121,585,389.5,102.5,548,725,609,1063,1362.5,205.5,931,856,131.5,148,164
acpP CDS,acpP,b1094,74,40,37.5,4821,2558.5,22812.5,2940,2210,27813.5,2644,15679.5,29776,4774,20985.5,17394.5,4340.5,4173.5,5206
acpS CDS,acpS,b2563,0,0,4,457.5,216.5,657.5,39,207,699.5,285.5,555.5,735.5,137,523,537.5,42.5,39.5,52.5
acpT CDS,acpT,b3475,9.5,5,5,1691.5,1093.5,448,113.5,779,548,632,1649,986.5,380.5,700.5,543.5,133.5,93.5,122.5
acrA CDS,acrA,b0463,8,4.5,18.5,2111.5,1044.5,11167.5,790.5,816.5,13431,1546.5,7450,16008.5,1421.5,12697.5,15624,1485,1815,2208.5
acrB CDS,acrB,b0462,8,15.5,28.5,5493.5,3290.5,27128,1477,2607.5,28712,3396.5,16622,29892.5,3308.5,23265,29796.5,3336,3863,4367.5
acrD CDS,acrD,b2470,14,13,42.5,4586,2857,526.5,134.5,2006.5,919.5,2243.5,2776.5,1546,926,1042,964.5,376.5,472,467
acrE CDS,acrE,b3265,5,0,9.5,1356,843,16,14,618.5,57.5,599.5,817,158.5,255,52,56,10,21.5,14.5
acrF CDS,acrF,b3266,10,14,25.5,4542,2341,345,65,1865.5,684.5,1644.5,2518,1221.5,831,860,615,71,84.5,104.5
acrR CDS,acrR,b0464,3,2,3,837.5,461.5,633.5,172.5,441,967,535,983.5,1466.5,348,1203.5,1251,59,113,130.5
acrZ CDS,acrZ,b0762,12,2,8,375,220.5,364,286,349.5,133,274.5,359,273,411,187.5,308,453,360.5,430
acs CDS,acs,b4069,156,43,51,7404,3746,12213,243,2076,9716,3003,6356,5613,2936,3928,3552,502,481,644
actP CDS,actP,b4067,28,6,10,4163,2281.5,2551,108,1326.5,1358.5,1462.5,2486,981,1337.5,679.5,468.5,122.5,123.5,166.5
ada CDS,ada,b2213,103,25,44,1815.5,1337,793,103,888,1409.5,955.5,1680.5,1970,415,1412,1283,114.5,141.5,163
add CDS,add,b1623,16,6.5,11.5,1891,1210.5,1132.5,263,1041.5,1365.5,1165,1978,2689,829,1717.5,1703.5,377.5,356,429.5
adeD CDS,adeD,b3665,7,11,29,3987.5,2482,339.5,83.5,1495.5,545.5,1560,3088.5,970.5,767,544.5,760,79.5,75,94
adeP CDS,adeP,b3714,4.5,7.5,14,3011,1968.5,2243,748,1350,2380.5,1383.5,2481.5,5719,1443,3696,3065.5,713,634,768
adeQ CDS,adeQ,b3664,5,2.5,17.5,2293,1413.5,13.5,16,930.5,54.5,1119,1231,217,390.5,92.5,69.5,21,19,20
adhE CDS,adhE,b1241,288,144,121,13324.5,5945,50131,3456.5,3488.5,47635.5,3235.5,26926.5,42129,10274,27306.5,23112.5,7932.5,8153,11059
adhP CDS,adhP,b1478,39,18,31,2503.5,1608,2348,428,991.5,4544,1226,4227.5,7825,767,5279.5,4842,208,179.5,243
adiA CDS,adiA,b4117,21,39,27,3380,2090,464,103,1221,691,1006,1823,1069,659,811,624,252,202,211
adiC CDS,adiC,b4115,8,8,9.5,2974.5,1887,26,15,1001,106,1180,1398.5,175,547.5,117.5,61,1,6,18
adiY CDS,adiY,b4116,0,3,4,442.5,380.5,4,6,263,8,139,149.5,52.5,106,28,17,0,0,0
adk CDS,adk,b0474,11,4,14,1957,1166,8369,1152,926,9585,1427,5904,14275,1550,11022,9673,689,707,990
aegA CDS,aegA,b2468,11.5,6,32.5,3469.5,1997.5,414,55,1533.5,729.5,1425,2317,1098,588.5,822,646.5,62,56,91.5
aer CDS,aer,b3072,13,8,25,3777,2159,934,178,1467,1543,1465,2069,2305,852,1839,1900,271,192,247
aes CDS,aes,b0476,3.5,5,5.5,2625,1065,1273.5,430.5,758,4858,931,3154.5,4238,537,3342.5,2286.5,114.5,98,113
afuB CDS,afuB,b0263,0,0,0,0,0,1.5,0,0,2,1,2.5,2,0.5,1.5,2.5,0,0.5,0
afuC CDS,afuC,b0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agaA CDS,agaA,b3135,1,3,0,1340.5,695,40.5,14.5,419,78.5,317,423,168.5,211,124,107.5,21.5,12.5,22.5
agaB CDS,agaB,b3138,2,0.5,0.5,269,238,15,1,196,31,67.5,184.5,79.5,42.5,34,20.5,1.5,3.5,6.5
agaC CDS,agaC,b3139,0,3.5,5,790,614.5,16.5,8,452.5,28,269.5,505,74,143.5,42.5,20.5,0.5,5.5,3
agaD CDS,agaD,b3140,2,0,4.5,950,711.5,17.5,20,522,56.5,576,747.5,166.5,177,83,34,12,5,19.5
agaI CDS,agaI,b3141,0,2,7,864,538,28,13,378.5,45.5,303,484,162,144,62.5,76,6,8,10
agaR CDS,agaR,b3131,11.5,4.5,10.5,1112,620,1632.5,202.5,397,2707,513.5,1575.5,3527,406.5,2468.5,2244,184.5,197.5,232
agaS CDS,agaS,b3136,2,2,10,1981.5,1197.5,118,23.5,787.5,256.5,746.5,1078.5,550,349,399,297.5,31,39.5,29.5
agaV CDS,agaV,b3133,0,0,8,515,341.5,40,2,381,62.5,389,547,125.5,133.5,68,31.5,19.5,3.5,15
agaW CDS,agaW,b3134,4,1,5.5,620.5,456.5,33.5,8.5,323.5,55.5,362,427.5,102.5,111,56,27.5,20,11,22
agp CDS,agp,b1002,785,246.5,140,2459,1209,1807.5,97,864.5,1258.5,802.5,1958,1198,837,922,609.5,317,326,417
ahpC CDS,ahpC,b0605,119,136,437,43953,15300,147964,44054,15607,505066,28788,157284,643456,44579,429034,186591,9986,9121,12711
ahpF CDS,ahpF,b0606,126,138,283,42973.5,10493.5,530347.5,42164,8043.5,615241,17652.5,206948.5,659152.5,50144.5,514933,428150,3127,2826,3481.5
ahr CDS,ahr,b4269,32,8,19.5,2618,1319,2301.5,209.5,1048.5,3424,916,3255.5,3597,587.5,2776.5,1825.5,308,188,244.5
aidB CDS,aidB,b4187,110,93,99,3857,2270,2187.5,238.5,1443,2410,1551.5,4061,3232.5,1036.5,2022,1724.5,193,187.5,266
ais CDS,ais,b2252,0,1,3,315.5,235,7.5,8,248.5,24,146,350.5,232,55.5,78.5,204,4,2,4
alaA CDS,alaA,b2290,6,5,29,1888,1267,1404.5,608,1321.5,3014,1592.5,2460.5,6979,855,4043.5,3698.5,366,375,522
alaC CDS,alaC,b2379,3,2,24,2760,1850,3160.5,404,1466.5,4984.5,1862.5,8427.5,22319.5,858,16474.5,16952,277,290,323
alaE CDS,alaE,b2670,2,3,3,442.5,455,165.5,72.5,399,461,277,587.5,2481,183.5,2002,2226,207.5,248,220.5
alaS CDS,alaS,b2697,48,31,67,8863,4570.5,45287.5,3098.5,3723.5,53053.5,5133,30649.5,70149,6164,49318.5,56853,3317,3353.5,4383
aldA CDS,aldA,b1415,265.5,111.5,83.5,5243,2434,11525.5,293.5,1335.5,4206,1645,6306.5,4406.5,2716,3182.5,3419,1096.5,973,1320
aldB CDS,aldB,b3588,82,32,34,4500,2612,1127,75,1645,1003,1508,2725,887,860,660,413,128,108,131
alkA CDS,alkA,b2068,5.5,0,23,2166.5,1188,423,72.5,1029.5,720,1218.5,1768,1274.5,422.5,853.5,768,37.5,43.5,70.5
alkB CDS,alkB,b2212,15,9.5,5.5,1043,672.5,234.5,37,466.5,343,584.5,870.5,610,192.5,433.5,338.5,20.5,23,27
allA CDS,allA,b0505,16,2,4,1060.5,602.5,99.5,13.5,601.5,191,640,604.5,187.5,212,130,126.5,12.5,11,19
allB CDS,allB,b0512,6,8,10.5,1496,951,111,19.5,803.5,89.5,689.5,788.5,167.5,292,117.5,64,15.5,23.5,30.5
allC CDS,allC,b0516,5,12.5,16,2360,1376,77.5,24,1078.5,274.5,1134,1299.5,403.5,445,286.5,117.5,9.5,17.5,21
allD CDS,allD,b0517,1,5,10,1296,865,22,10,757,43.5,1091,926.5,161,285.5,67.5,20,6,4,4
allE CDS,allE,b0515,5,4.5,11,1025,914,157.5,40,446.5,241,455,475,269.5,248.5,151,129.5,25.5,24.5,32
allR CDS,allR,b0506,103.5,30,42,1669.5,872.5,1618,301.5,672.5,2644.5,717,1756.5,3316,592.5,2468,1863.5,363.5,322,362
allS CDS,allS,b0504,10,7,15,1547,1175.5,37.5,9,1021.5,82.5,1131.5,1578,272,306.5,184,55,15,16.5,19
alpA CDS,alpA,b2624,1,0,1,124.5,102,3.5,1,90,21.5,61,66,19,29.5,34,7,1,4,2
alr CDS,alr,b4053,11.5,12,23,3841.5,2192,2451.5,302,1783,2533,1902.5,4480,5881,979,4314,4723.5,163.5,178.5,193
alsA CDS,alsA,b4087,2.5,6.5,25,1933,1396.5,83,36.5,1012,132,1130,2365,392.5,446,207.5,209.5,22,23,19
alsB CDS,alsB,b4088,10,3,9.5,1656.5,1049,128.5,26,789.5,267,819,2151,262,393.5,209.5,97.5,32.5,48,29.5
alsC CDS,alsC,b4086,6,2.5,2,1375,927.5,74.5,33,551,119,513,1100,298,317.5,138.5,107,15.5,16,22
alsE CDS,alsE,b4085,0.5,1,8.5,1082,709,135.5,15.5,422.5,255,415.5,1437.5,316,229,215.5,178,14.5,26,11
alsK CDS,alsK,b4084,7,6,8.5,2194,1319.5,254,34,943,371,1081.5,2128.5,473,432.5,365,327,38,39,34
alsR CDS,alsR,b4089,8,5,13.5,1661.5,1126.5,773.5,171,682,1247,752,2420,1453.5,536.5,1008,665,162.5,136,177.5
alx CDS,alx,b3088,1,4,5,1583,951,104,38,571,131,532,570,426,262,240,210,205,265,243
