gene,accession,gene_product,cog,ratio_cAmp,ratio_RpoS
"sfsAf,g",b0146,probable regulator for maltose metabolism,Regulation,5.7,6.7
"bolAe,h",b0435,possible regulator of murein genes,Regulation,7.5,
"hupBf,g",b0440,"DNA-binding protein HU-beta, NS1 (HU-1)",Regulation,7.3,
ompT,b0565,"outer membrane protein 3b (a), protease VII",Regulation,6.5,19.9
"dpsd,e,h",b0812,"global regulator, starvation conditions",Regulation,6.5,-4.9**
ybiJ,b0845,putative DEOR-type transcriptional regulator,Regulation,-5.9**,-3.0**
clpA,b0882,ATP-binding component of serine protease,Regulation,,
wrbA,b1004,trp repressor binding protein,Regulation,3.6,-3.3**
phoQ,b1129,sensor protein PhoQ,Regulation,,
minD,b1175,"cell division inhibitor, a membrane ATPase, activates minC",Regulation,4.1,
Hns,b1237,"DNA-binding protein HLP-II (HU, BH2, HD, NS), pleiotropic regulator",Regulation,4.1,
mokB,b1420,"regulatory protein, enables hokB expression",Regulation,4.4,
ydcI,b1422,putative transcriptional regulator LYSR-type,Regulation,5.6,
ydeW,b1512,"putative transcriptional regulator, sorC family",Regulation,4.1,
yneA,b1516,putative LACI-type transcriptional regulator,Regulation,5.6,
"gatR_2c,i",b2090,"split galactitol utilization operon repressor, fragment 2",Regulation,13,
yehH,b2116,"molybdate metabolism regulator, second fragment 2",Regulation,7.9,
rseA,b2572,"sigma-E factor, negative regulatory protein",Regulation,7.9,
rpoEi,b2573,"RNA polymerase, sigma-E factor heat shock and oxidative stress",Regulation,5,
yfjN,b2630,putative cell division protein,Regulation,3.8,7.8
csrAb,b2696,carbon storage regulator,Regulation,8.3,-3.1
glcCb,b2980,transcriptional activator for glc operon,Regulation,,-3.5**
damX,b3388,putative membrane protein; interferes with cell division,Regulation,,
yhiEe,b3512,putative regulator,Regulation,16.6,34.7*
"yiaGd,e,h",b3555,putative transcriptional regulator,Regulation,5,-6.2**
soxS,b4062,regulation of superoxide response regulon,Regulation,-3.9**,-3.3
adiY,b4116,putative ARAC-type regulatory protein,Regulation,-5. 1**,
yjjMi,b4357,putative transcriptional regulator,Regulation,6.8,-3.3*
bglJ,b4366,2-component transcriptional regulator,Regulation,,-3.8**
rsmC,b4371,16S RNA m2G1207 methylase,Regulation,,
ybjP,b0865,putative lipoprotein,Cell structure,4.3,-3.6**
lolA,b0891,periplasmic protein effects translocation of lipoproteins ,Cell structure,,-3.7
ycbQ,b0938,putative fimbrial-like protein,Cell structure,-6.4**,
sfai,b0991,suppresses fabA and ts growth mutation,Cell structure,-3.9*,-3.0**
ycdS,b1024,putative outer membrane protein,Cell structure,,
flgD,b1075,"flagellar biosynthesis, initiation of hook assembly",Cell structure,4.5,11.9
"ycgBe,g,h",b1188,putative sporulation protein,Cell structure,6.9,-3.3**
kdsA,b1215,2-dehydro-3-deoxyphosphooctulonate aldolase,Cell structure,,
ddpX,b1488,D-Ala-D-Ala dipeptidase,Cell structure,4.4,
ydeS,b1504,putative fimbrial-like protein,Cell structure,5.5,
lpp,b1677,murein lipoprotein,Cell structure,5.8,
wbbL,b2031,putaive lipopolysaccharide biosynthesis glycosyl transferase,Cell structure,3.7,
yfcX,b2341,bifunctional fatty acid oxidation complex protein,Cell structure,5.3,
pssA,b2585,"phosphatidylserine synthase,  phospholipid synthesis",Cell structure,5.1,
rfe,b3784,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,Cell structure,,-3.6**
nlpD,b2742,lipoprotein,Cell structure,4,
blch,b4149,outer membrane lipoprotein (lipocalin),Cell structure,4.2,5.5
fimI,b4315,fimbrial protein,Cell structure,-3.5**,
fimD,b4317,outer membrane protein  export and assembly of type 1 fimbriae,Cell structure,-3.0**,
fimGb,b4319,fimbrial morphology,Cell structure,-3.2**,-4.5**
fsr,b0479,fosmidomycin resistance protein,Stress response,,-3.6**
cspDg,b0880,cold shock protein,Stress response,13,
mdoG,b1048,periplasmic glucans biosynthesis protein,Stress response,,-3.2**
umuCi,b1184,SOS mutagenesis and repair,Stress response,-4.2**,
pspEi,b1308,phage shock protein,Stress response,4,
"gadBb,e,f,h",b1493,glutamate decarboxylase isozyme,Stress response,,15.4
marC,b1529,multiple antibiotic resistance protein,Stress response,,10
cspF,b1558,cold shock protein,Stress response,-5.7*,
"osmEd,h",b1739,activator of ntrL gene,Stress response,10.4,10.2
yeaAg,b1778,methionine sulfoxide reductase,Stress response,5.9,
