Gene name,Gene ID ,Functional description ,Fold change,Direction
adiA ,b4117 ,biodegradative arginine decarboxylase ,2.45,upregulated
afuC ,b0262 ,putative ATP-binding component of a transport system ,2.02,upregulated
ansB ,b2957 ,periplasmic L-asparaginase II ,2.28,upregulated
argK ,b2918 ,membrane ATPase/protein kinase ,2.12,upregulated
cadA ,b4131 ,lysine decarboxylase 1 ,2.6,upregulated
cadB ,b4132 ,transport of lysine cadaverine ,2.83,upregulated
ddpF ,b1483 ,"D,D-dipeptide permease system, ATP-binding component ",2.83,upregulated
ddpX ,b1488 ,"D-ala-D-ala dipeptidase, Zn-dependent ",2.49,upregulated
edd ,b1851 ,6-phosphogluconate dehydratase ,2.29,upregulated
elaD ,b2269 ,putative sulfatase,2.07,upregulated
idnD ,b4267 ,L-idonate dehydrogenase ,2.31,upregulated
nikA ,b3476 ,periplasmic binding protein for nickel ,2.15,upregulated
nikB ,b3477 ,"transport of nickel, membrane protein ",2.17,upregulated
nikD ,b3479 ,ATP-binding protein of nickel transport system ,2.24,upregulated
oxc ,b2373 ,"oxalyl CoA decarboxylase, ThDP-dependent ",2.25,upregulated
pheP ,b0576 ,phenylalanine-specific transport system and proline ,2.08,upregulated
proV ,b2677 ,"ATP-binding component of transport system for glycine, betaine and proline ",12.96,upregulated
proW ,b2678 ,high-affinity transport system for glycine betaine and proline ,17.69,upregulated
proX ,b2679 ,high-affinity transport system for glycine betaine and proline ,11.66,upregulated
rspB ,b1580 ,starvation sensing protein ,2.47,upregulated
speF ,b0693 ,"ornithine decarboxylase isozyme, inducible ",3.04,upregulated
tdcA ,b3118 ,transcriptional activator of tdc operon ,2.56,upregulated
tdcB ,b3117 ,"threonine dehydratase, catabolic ",2.89,upregulated
tdcC ,b3116 ,"anaerobically inducible L-threonine, L-serine permease ",2.29,upregulated
tdcF ,b3113 ,predicted L-PSP (mRNA) endoribonuclease ,2.18,upregulated
tdcR ,b3119 ,threonine dehydratase operon activator protein ,2.46,upregulated
tnaA ,b3708 ,tryptophanase ,3.91,upregulated
tnaB ,b3709 ,low affinity tryptophan permease ,2.76,upregulated
tnaC ,b3707 ,tryptophanase leader peptide ,3.96,upregulated
wcaB ,b2058 ,predicted acyl transferase ,2.06,upregulated
wcaD ,b2056 ,putative colanic acid polymerase ,2.56,upregulated
wcaF ,b2054 ,putative transferase ,2.7,upregulated
wzc ,b2060 ,protein-tyrosine kinase ,2.68,upregulated
yagE ,b0268 ,putative lyasesynthase ,2.04,upregulated
yahN ,b0328 ,"inner membrane protein, LysE transporter family;overproduction confers",2.38,upregulated
ydeN ,b1498 ,putative sulfatase ,2.46,upregulated
ydjJ ,b1774 ,putative oxidoreductase ,2.1,upregulated
yedS_3 ,b1966 ,putative amino acidamine transport protein ,2.09,upregulated
yfbL ,b2271 ,putative aminopeptidase ,2.46,upregulated
yfcC ,b2298 ,putative S-transferase ,2.35,upregulated
yfiK ,b2578 ,cysteine and O-acetylserine exporter ,2.38,upregulated
ygeW ,b2870 ,putative carbamoyl transferase ,2.3,upregulated
ygeX ,b2871 ,"2,3-diaminopropionate ammonia-lyase ",2.12,upregulated
ygeY ,b2872 ,putative deacetylase ,2.22,upregulated
ygfT ,b2887 ,"putative oxidoreductase, Fe-S subunit ",2.06,upregulated
yhdX ,b3269 ,putative transport system permease protein ,2.14,upregulated
yhdY ,b3270 ,putative transport system permease protein ,2.16,upregulated
yhfX ,b3381 ,predicted amino acid racemase ,2.01,upregulated
yhiP ,b3496 ,dipeptide and tripeptide permease B ,2.3,upregulated
yjdL ,b4130 ,putative peptide transporter ,2.26,upregulated
yjiM ,b4335 ,predicted 2-hydroxyglutaryl-CoA dehydratase ,2,upregulated
yqeA ,b2874 ,putative kinase ,2.22,upregulated
agaB ,b3138 ,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 1",2.15,upregulated
agaI ,b3141 ,galactosamine-6-phosphate isomerase ,2.47,upregulated
agaV ,b3133 ,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 2",2.44,upregulated
agaW ,b3134 ,PTS system N-acetylgalactosameine-specific IIC component 2 ,2.67,upregulated
agaY ,b3137 ,tagatose-bisphosphate aldolase 2 ,2.67,upregulated
agaZ ,b3132 ,"tagatose 6-phosphate aldolase 1, kbaZ subunit ",2.31,upregulated
alsA ,b4087 ,fused D-allose transporter subunits of ABC superfamily: ATP-binding,2.03,upregulated
alsC ,b4086 ,D-allose transporter subunit ,2.13,upregulated
alsE ,b4085 ,allulose-6-phosphate 3-epimerase ,2.06,upregulated
araA ,b0062 ,L-arabinose isomerase ,2.08,upregulated
araF ,b1901 ,L-arabinose-binding periplasmic protein ,2.33,upregulated
arnF ,b2258 ,undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit ,2,upregulated
bglB ,b3721 ,phospho-beta-glucosidase B; cryptic ,2.05,upregulated
bglF ,b3722 ,"PTS system beta-glucosides, enzyme II, cryptic ",2.1,upregulated
citE ,b0616 ,citrate lyase beta chain acyl lyase subunit ,2.15,upregulated
cmtA ,b2933 ,"PTS system, mannitol-specific enzyme II component, cryptic ",2.24,upregulated
cmtB ,b2934 ,"PTS system, mannitol-specific enzyme II component, cryptic ",2.17,upregulated
dgoT ,b3691 ,D-galactonate transport ,2.09,upregulated
ebgA ,b3076 ,"evolved beta-D-galactosidase, alpha subunit; cryptic gene ",2.26,upregulated
ebgC ,b3077 ,"evolved beta-D-galactosidase, beta subunit; cryptic gene ",2.27,upregulated
emrB ,b2686 ,multidrug resistance; probably membrane translocase ,2.03,upregulated
frvA ,b3900 ,"PTS system, fructose-specific IIA component ",2.26,upregulated
frvB ,b3899 ,"PTS system, fructose-like enzyme IIBC component ",2.1,upregulated
frvX ,b3898 ,frv operon protein ,2.11,upregulated
frwB ,b3950 ,PTS system fructose-like IIB component 1 ,2.84,upregulated
frwC ,b3949 ,"PTS system, fructose-like enzyme II component ",2.8,upregulated
fryB ,b2387 ,predicted enzyme IIB component of PTS ,2.24,upregulated
fryC ,b2386 ,predicted enzyme IIC component of PTS ,2.4,upregulated
fucA ,b2800 ,L-fuculose-1-phosphate aldolase ,2.02,upregulated
fucI ,b2802 ,L-fucose isomerase ,2.43,upregulated
fucK ,b2803 ,L-fuculokinase ,2.29,upregulated
fucP ,b2801 ,fucose permease ,2.29,upregulated
garL ,b3126 ,alpha-dehydro-beta-deoxy-D-glucarate aldolase ,2.02,upregulated
glvB ,b3682 ,"PTS system, arbutin-like IIB component ",2,upregulated
glvC ,b3683 ,"PTS system, arbutin-like IIC component ",2.16,upregulated
glvG ,b3681 ,probable 6-phospho-beta-glucosidase ,2.25,upregulated
gntP ,b4321 ,gluconate transport system permease 3 ,2.43,upregulated
gntU ,b3436 ,a gluconate transporter ,2,upregulated
gudP ,b2789 ,putative D-glucarate permease (MFS family) ,2.52,upregulated
hcaT ,b2536 ,MFS (major facilitator superfamily) transporter ,2.18,upregulated
hrsA ,b0731 ,"protein modification enzyme, induction of ompC ",2.05,upregulated
