Gene name,Gene ID ,Functional description ,Fold change
adiA ,b4117 ,biodegradative arginine decarboxylase ,2.45
afuC ,b0262 ,putative ATP-binding component of a transport system ,2.02
ansB ,b2957 ,periplasmic L-asparaginase II ,2.28
argK ,b2918 ,membrane ATPase/protein kinase ,2.12
cadA ,b4131 ,lysine decarboxylase 1 ,2.6
cadB ,b4132 ,transport of lysine cadaverine ,2.83
ddpF ,b1483 ,"D,D-dipeptide permease system, ATP-binding component ",2.83
ddpX ,b1488 ,"D-ala-D-ala dipeptidase, Zn-dependent ",2.49
edd ,b1851 ,6-phosphogluconate dehydratase ,2.29
elaD ,b2269 ,putative sulfatase,2.07
idnD ,b4267 ,L-idonate dehydrogenase ,2.31
nikA ,b3476 ,periplasmic binding protein for nickel ,2.15
nikB ,b3477 ,"transport of nickel, membrane protein ",2.17
nikD ,b3479 ,ATP-binding protein of nickel transport system ,2.24
oxc ,b2373 ,"oxalyl CoA decarboxylase, ThDP-dependent ",2.25
pheP ,b0576 ,phenylalanine-specific transport system and proline ,2.08
proV ,b2677 ,"ATP-binding component of transport system for glycine, betaine and proline ",12.96
proW ,b2678 ,high-affinity transport system for glycine betaine and proline ,17.69
proX ,b2679 ,high-affinity transport system for glycine betaine and proline ,11.66
rspB ,b1580 ,starvation sensing protein ,2.47
speF ,b0693 ,"ornithine decarboxylase isozyme, inducible ",3.04
tdcA ,b3118 ,transcriptional activator of tdc operon ,2.56
tdcB ,b3117 ,"threonine dehydratase, catabolic ",2.89
tdcC ,b3116 ,"anaerobically inducible L-threonine, L-serine permease ",2.29
tdcF ,b3113 ,predicted L-PSP (mRNA) endoribonuclease ,2.18
tdcR ,b3119 ,threonine dehydratase operon activator protein ,2.46
tnaA ,b3708 ,tryptophanase ,3.91
tnaB ,b3709 ,low affinity tryptophan permease ,2.76
tnaC ,b3707 ,tryptophanase leader peptide ,3.96
wcaB ,b2058 ,predicted acyl transferase ,2.06
wcaD ,b2056 ,putative colanic acid polymerase ,2.56
wcaF ,b2054 ,putative transferase ,2.7
wzc ,b2060 ,protein-tyrosine kinase ,2.68
yagE ,b0268 ,putative lyasesynthase ,2.04
yahN ,b0328 ,"inner membrane protein, LysE transporter family;overproduction confers",2.38
ydeN ,b1498 ,putative sulfatase ,2.46
ydjJ ,b1774 ,putative oxidoreductase ,2.1
yedS_3 ,b1966 ,putative amino acidamine transport protein ,2.09
yfbL ,b2271 ,putative aminopeptidase ,2.46
yfcC ,b2298 ,putative S-transferase ,2.35
yfiK ,b2578 ,cysteine and O-acetylserine exporter ,2.38
ygeW ,b2870 ,putative carbamoyl transferase ,2.3
ygeX ,b2871 ,"2,3-diaminopropionate ammonia-lyase ",2.12
ygeY ,b2872 ,putative deacetylase ,2.22
ygfT ,b2887 ,"putative oxidoreductase, Fe-S subunit ",2.06
yhdX ,b3269 ,putative transport system permease protein ,2.14
yhdY ,b3270 ,putative transport system permease protein ,2.16
yhfX ,b3381 ,predicted amino acid racemase ,2.01
yhiP ,b3496 ,dipeptide and tripeptide permease B ,2.3
yjdL ,b4130 ,putative peptide transporter ,2.26
yjiM ,b4335 ,predicted 2-hydroxyglutaryl-CoA dehydratase ,2
yqeA ,b2874 ,putative kinase ,2.22
agaB ,b3138 ,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 1",2.15
agaI ,b3141 ,galactosamine-6-phosphate isomerase ,2.47
agaV ,b3133 ,"PTS system, cytoplasmic, N-acetylgalactosamine-specific IIB component 2",2.44
agaW ,b3134 ,PTS system N-acetylgalactosameine-specific IIC component 2 ,2.67
agaY ,b3137 ,tagatose-bisphosphate aldolase 2 ,2.67
agaZ ,b3132 ,"tagatose 6-phosphate aldolase 1, kbaZ subunit ",2.31
alsA ,b4087 ,fused D-allose transporter subunits of ABC superfamily: ATP-binding,2.03
alsC ,b4086 ,D-allose transporter subunit ,2.13
alsE ,b4085 ,allulose-6-phosphate 3-epimerase ,2.06
araA ,b0062 ,L-arabinose isomerase ,2.08
araF ,b1901 ,L-arabinose-binding periplasmic protein ,2.33
arnF ,b2258 ,undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit ,2
bglB ,b3721 ,phospho-beta-glucosidase B; cryptic ,2.05
bglF ,b3722 ,"PTS system beta-glucosides, enzyme II, cryptic ",2.1
citE ,b0616 ,citrate lyase beta chain acyl lyase subunit ,2.15
cmtA ,b2933 ,"PTS system, mannitol-specific enzyme II component, cryptic ",2.24
cmtB ,b2934 ,"PTS system, mannitol-specific enzyme II component, cryptic ",2.17
dgoT ,b3691 ,D-galactonate transport ,2.09
ebgA ,b3076 ,"evolved beta-D-galactosidase, alpha subunit; cryptic gene ",2.26
ebgC ,b3077 ,"evolved beta-D-galactosidase, beta subunit; cryptic gene ",2.27
emrB ,b2686 ,multidrug resistance; probably membrane translocase ,2.03
frvA ,b3900 ,"PTS system, fructose-specific IIA component ",2.26
frvB ,b3899 ,"PTS system, fructose-like enzyme IIBC component ",2.1
frvX ,b3898 ,frv operon protein ,2.11
frwB ,b3950 ,PTS system fructose-like IIB component 1 ,2.84
frwC ,b3949 ,"PTS system, fructose-like enzyme II component ",2.8
fryB ,b2387 ,predicted enzyme IIB component of PTS ,2.24
