"Gene.Symbols","UniProt.IDs","High temp. Remodeling Score","Amino acids Remodeling Score","Anaerobic Remodeling Score","Galactose Remodeling Score","Glucose Remodeling Score","Max growth rate Remodeling Score","Near-zero growth Remodeling Score","Stationary phase Remodeling Score","Xylose Remodeling Score"
"gltX;gltD;aegA;gltI;gltA;gltD;gltB","P04805;P09832;P37127;P37902;P0ABH7;P09832;P09831",-0.398232042960436,-0.362572758545728,-0.316114668813466,-0.325391434475579,-0.400424062162658,-0.42647334494967,-0.397604433580249,-0.348052085755272,-0.408343544007245
"rpmJ;rplM;rplS;rplY;rpoA;rplT;rplC;rplQ;rplR;rplJ;rpmC;rpmB;rpmE;rpmA;rplV;rplD;rplK;rplX;rplE;rplA;rplN;rpmG;rplI;rpmD;rplB;rpmF;rpoB;rpmH;rplL;rplW;rplO;rplU;rplF;rplP;rpmI","P0A7Q6;P0AA10;P0A7K6;P68919;P0A7Z4;P0A7L3;P60438;P0AG44;P0C018;P0A7J3;P0A7M6;P0A7M2;P0A7M9;P0A7L8;P61175;P60723;P0A7J7;P60624;P62399;P0A7L0;P0ADY3;P0A7N9;P0A7R1;P0AG51;P60422;P0A7N4;P0A8V2;P0A7P5;P0A7K2;P0ADZ0;P02413;P0AG48;P0AG55;P0ADY7;P0A7Q1",-0.0682324992352533,-0.0717412392957834,0.0566853892776431,-0.397449900245283,0.260301348507554,0.0170175950103484,0.0428018763696902,-0.161462722476923,0.0787144120398777
"sucB;ssb;stpA;speA;speB;sspA;sucA;srlB;spy;srmB;solA;sthA;sucC;sseA;srlR;speG","P0AFG6;P0AGE0;P0ACG1;P21170;P60651;P0ACA3;P0AFG3;P05706;P77754;P21507;P40874;P27306;P0A836;P31142;P15082;P0A951",0.124616198389448,-0.131674912537358,-0.0102616226251346,0.00950776175989624,0.0234421315531969,0.113064847014804,-0.368247247938528,-0.232082550906252,0.116734919782565
"rpoE;rpoS;rpoB;rpoD;rpoC;rpoH","P0AGB6;P13445;P0A8V2;P00579;P0A8T7;P0AGB3",-0.0447010709485009,-0.273140406957737,-0.635781764684771,-0.0240525994419899,0.056507232985129,-0.422624423452832,-0.53363942286972,-0.479444625647646,0.353807784962504
"rpsD;rpsL;rpsB;rpsC;rpsJ;rpsU;rpsI;rhlE;rpsE;rpoS;rpsN;rpsH;sra;rpsF;rpsO;rpsP;rpsA;rpsQ;rpsR;raiA;rpsK;rpsM;rpsT;rpsG;rpoZ;rpsS","P0A7V8;P0A7S3;P0A7V0;P0A7V3;P0A7R5;P68679;P0A7X3;P25888;P0A7W1;P13445;P0AG59;P0A7W7;P68191;P02358;P0ADZ4;P0A7T3;P0AG67;P0AG63;P0A7T7;P0AD49;P0A7R9;P0A7S9;P0A7U7;P02359;P0A800;P0A7U3",-0.246531566525081,-0.246222115089743,-0.3377508291636,-0.448601015302948,0.133727620500049,-0.159210138474542,-0.379980530960505,-0.384427847798792,-0.152112323957986
"gabD;fumC;fucO;fumA;fumB;fucU;fumB;fumA;fusA","P25526;P05042;P0A9S1;P0AC33;P14407;P0AEN8;P14407;P0AC33;P0A6M8",-0.289592729628071,0.0337061101539426,-0.746634167034686,-0.499405521179082,-0.665773545068965,-0.122206497953191,-0.819260315061759,-0.730895620393975,-0.394215367936073
"yaeQ;yaeH;xylR;xylG;yaaA;yacC;xthA;xylB;xylF;xylA;yacG","P0AA97;P62768;P0ACI3;P37388;P0A8I3;P0AA95;P09030;P09099;P37387;P00944;P0A8H8",0.0187604333686932,-0.161931811298304,-0.153974987114625,-0.0351701549345149,-0.024788941976988,-0.0196502295427544,-0.0714075490925488,-0.160516862269185,0.191292317632309
"lysA;ltaE;lsrR;lsrB;lysC;lpxD;luxS;lsrF;lysS;lysU;lysU;lysS","P00861;P75823;P76141;P76142;P08660;P21645;P45578;P76143;P0A8N3;P0A8N5;P0A8N5;P0A8N3",-0.125532018821288,-0.155816086022768,0.0290367402873408,-0.406153676426609,-0.180966084384413,-0.140679418869299,-0.336698465175044,-0.210108448474564,-0.307901972014777
"ileS;icd;ilvD;ihfA;infA;ihfB;ilvC;ilvN;ilvB;ilvI;ilvA;ilvE;ilvH;ibaG;idi;ibpB;ibpA","P00956;P08200;P05791;P0A6X7;P69222;P0A6Y1;P05793;P0ADF8;P08142;P00893;P04968;P0AB80;P00894;P0A9W6;Q46822;P0C058;P0C054",0.120325537106684,0.0173362381519396,0.212794289679117,-0.0245285664348969,0.055892392146945,0.117473256037145,-0.0241812758764362,0.0396036823879113,-0.00205956412443865
"rfaF;rcsB;rdgC;recA;rdgB;recG;rcnR;rcsF;relA","P37692;P0DMC7;P36767;P0A7G6;P52061;P24230;P64530;P69411;P0AG20",-0.440421182704319,-0.22487822314554,-0.416033380203642,-0.053384695025727,-0.104069019387108,-0.300852313352984,-0.370753404651275,-0.392604564304576,-0.402490888415398
"nfo;narP;nei;nemA;nemR;nhaR;nfuA;nfi;nfsB;ndk;nfsA","P0A6C1;P31802;P50465;P77258;P67430;P0A9G2;P63020;P68739;P38489;P0A763;P17117",-0.280037059061389,-0.138320910358516,-0.147369074767739,-0.13104486551684,0.0534859269190479,0.036259685466204,-0.105762046280013,-0.31531240444612,-0.319312362857018
"hldE;hisS;hiuH;hisH;hisG;hisI;hisF;hmp;hisJ;hisP;holA","P76658;P60906;P76341;P60595;P60757;P06989;P60664;P24232;P0AEU0;P07109;P28630",-0.108370079638288,-0.289969373635812,-0.725996723009446,-0.426091243746313,-0.0874087009569183,-0.364495398989552,-0.498637698130481,-0.416096125278313,-0.322974061178657
"cspE;cspC;crr;cspI;cspB;csrA;cspD;cspA;csdE;csiD;cspG","P0A972;P0A9Y6;P69783;P0A986;P36995;P69913;P0A968;P0A9X9;P0AGF2;P76621;P0A978",0.212879515223682,0.502284158631106,-0.104112677596991,-0.0939057699237064,0.0834501087169691,-0.0459537377391095,-0.3450284544044,-0.154743815582711,0.226741641462837
"phoA;phnP;phoB;phoU;phoQ","P00634;P16692;P0AFJ5;P0A9K7;P23837",-0.615361435166911,-0.228285939042556,-0.394681206915297,-0.76728905957237,-0.444989924764328,-0.0462422388357398,-0.61770930451136,-0.396454794714316,-0.572105813076566
"rfaH;relE;yefM;relB;mqsA;mazF;rfaF;recG;dinD;relA;dinJ","P0AFW0;P0C077;P69346;P0C079;Q46864;P0AE70;P37692;P24230;P23840;P0AG20;Q47150",0.374953426471456,0.0722826516098072,0.0990794824117281,0.276742679524548,0.308992550396592,0.178909875542506,-0.079188571720143,-0.0330424314773724,0.0493795036818898
