# This table contains site-level occupancy values (IPOD-HR robust z-scores) for all IPOD-HR detectable,,,,,
#   TFBSs annotated in RegulonDB (downloaded May 2018),,,,,
# Column definitions:,,,,,
#   condition: The physiological condition under study,,,,,
#   startloc/endloc: 1-indexed start and end location of the site (open right interval),,,,,
#   occupancy: The robust z-score of peak occupancy in the site under the specified condition,,,,,
#   regulator: TF annotated to bind the site,,,,,
#   target: Regulatory target of binding, if known,,,,
condition,startloc,endloc,occupancy,regulator,target
min,29240,29252,5.876191,IHF,carAB
lexa,29240,29252,6.771246,IHF,carAB
purr,29240,29252,5.473883,IHF,carAB
stat,29240,29252,3.908077,IHF,carAB
argr,29240,29252,4.061718,IHF,carAB
rdmglu,29240,29252,7.024985,IHF,carAB
min,29359,29374,0.023022,RutR,carAB
lexa,29359,29374,2.90309,RutR,carAB
purr,29359,29374,-0.69464,RutR,carAB
stat,29359,29374,-0.890321,RutR,carAB
argr,29359,29374,0.643952,RutR,carAB
rdmglu,29359,29374,2.402188,RutR,carAB
min,29365,29391,1.103527,PepA,carAB
lexa,29365,29391,3.434054,PepA,carAB
purr,29365,29391,-0.294397,PepA,carAB
stat,29365,29391,-0.135684,PepA,carAB
argr,29365,29391,2.032396,PepA,carAB
rdmglu,29365,29391,3.041995,PepA,carAB
min,29386,29404,1.853894,Fis,carAB
lexa,29386,29404,4.792068,Fis,carAB
purr,29386,29404,-0.096958,Fis,carAB
stat,29386,29404,1.377686,Fis,carAB
argr,29386,29404,4.270202,Fis,carAB
rdmglu,29386,29404,3.723255,Fis,carAB
min,29415,29430,0.908068,PurR,carAB
lexa,29415,29430,5.168905,PurR,carAB
purr,29415,29430,0.267698,PurR,carAB
stat,29415,29430,1.606702,PurR,carAB
argr,29415,29430,4.259939,PurR,carAB
rdmglu,29415,29430,3.817585,PurR,carAB
min,29439,29457,1.184683,Fis,carAB
lexa,29439,29457,5.067359,Fis,carAB
purr,29439,29457,1.693198,Fis,carAB
stat,29439,29457,1.667915,Fis,carAB
argr,29439,29457,1.851912,Fis,carAB
rdmglu,29439,29457,3.867703,Fis,carAB
min,29459,29485,0.965917,PepA,carAB
lexa,29459,29485,4.38639,PepA,carAB
purr,29459,29485,2.132885,PepA,carAB
stat,29459,29485,1.430289,PepA,carAB
argr,29459,29485,-1.123871,PepA,carAB
rdmglu,29459,29485,3.522308,PepA,carAB
min,29461,29479,0.965917,Fis,carAB
lexa,29461,29479,4.38639,Fis,carAB
purr,29461,29479,2.132885,Fis,carAB
stat,29461,29479,1.430289,Fis,carAB
argr,29461,29479,-1.123871,Fis,carAB
rdmglu,29461,29479,3.522308,Fis,carAB
min,29602,29619,4.38172,ArgR,carAB
lexa,29602,29619,4.674583,ArgR,carAB
purr,29602,29619,6.641455,ArgR,carAB
stat,29602,29619,6.625883,ArgR,carAB
argr,29602,29619,-1.577476,ArgR,carAB
rdmglu,29602,29619,7.292068,ArgR,carAB
min,29623,29640,4.924418,ArgR,carAB
lexa,29623,29640,5.098647,ArgR,carAB
purr,29623,29640,7.141767,ArgR,carAB
stat,29623,29640,5.770876,ArgR,carAB
argr,29623,29640,-1.778042,ArgR,carAB
rdmglu,29623,29640,7.028876,ArgR,carAB
min,34156,34169,0.649823,FNR,caiF
lexa,34156,34169,2.316929,FNR,caiF
purr,34156,34169,2.544814,FNR,caiF
stat,34156,34169,4.280849,FNR,caiF
argr,34156,34169,4.150083,FNR,caiF
rdmglu,34156,34169,2.146896,FNR,caiF
min,34166,34187,0.784896,CRP,caiF
lexa,34166,34187,1.877866,CRP,caiF
purr,34166,34187,1.630525,CRP,caiF
stat,34166,34187,2.908373,CRP,caiF
argr,34166,34187,3.576689,CRP,caiF
rdmglu,34166,34187,1.436615,CRP,caiF
min,41981,41995,2.825227,ArcA,caiTABCDE
lexa,41981,41995,5.825711,ArcA,caiTABCDE
purr,41981,41995,2.738875,ArcA,caiTABCDE
stat,41981,41995,3.321527,ArcA,caiTABCDE
argr,41981,41995,1.065449,ArcA,caiTABCDE
rdmglu,41981,41995,4.73313,ArcA,caiTABCDE
min,42003,42017,4.863766,ArcA,caiTABCDE
lexa,42003,42017,5.711323,ArcA,caiTABCDE
purr,42003,42017,2.460247,ArcA,caiTABCDE
stat,42003,42017,5.229091,ArcA,caiTABCDE
argr,42003,42017,0.12709,ArcA,caiTABCDE
rdmglu,42003,42017,5.427652,ArcA,caiTABCDE
min,42068,42089,3.236689,CRP,caiTABCDE
lexa,42068,42089,2.554678,CRP,caiTABCDE
purr,42068,42089,3.45019,CRP,caiTABCDE
stat,42068,42089,3.489338,CRP,caiTABCDE
argr,42068,42089,1.322815,CRP,caiTABCDE
rdmglu,42068,42089,4.12971,CRP,caiTABCDE
min,42072,42085,3.236689,FNR,caiTABCDE
lexa,42072,42085,2.554678,FNR,caiTABCDE
purr,42072,42085,3.45019,FNR,caiTABCDE
stat,42072,42085,2.686904,FNR,caiTABCDE
argr,42072,42085,0.590988,FNR,caiTABCDE
rdmglu,42072,42085,4.12971,FNR,caiTABCDE
min,42121,42134,1.832687,FNR,fixABCX
lexa,42121,42134,2.829003,FNR,fixABCX
purr,42121,42134,2.132237,FNR,fixABCX
stat,42121,42134,2.108188,FNR,fixABCX
argr,42121,42134,0.095584,FNR,fixABCX
rdmglu,42121,42134,2.445628,FNR,fixABCX
min,42121,42134,1.832687,FNR,caiTABCDE
lexa,42121,42134,2.829003,FNR,caiTABCDE
purr,42121,42134,2.132237,FNR,caiTABCDE
stat,42121,42134,2.108188,FNR,caiTABCDE
argr,42121,42134,0.095584,FNR,caiTABCDE
rdmglu,42121,42134,2.445628,FNR,caiTABCDE
min,42121,42135,1.832687,ArcA,caiTABCDE
lexa,42121,42135,2.829003,ArcA,caiTABCDE
purr,42121,42135,2.132237,ArcA,caiTABCDE
stat,42121,42135,2.108188,ArcA,caiTABCDE
argr,42121,42135,0.095584,ArcA,caiTABCDE
rdmglu,42121,42135,2.445628,ArcA,caiTABCDE
min,42131,42145,1.994909,ArcA,caiTABCDE
lexa,42131,42145,3.440613,ArcA,caiTABCDE
purr,42131,42145,2.829422,ArcA,caiTABCDE
stat,42131,42145,2.108188,ArcA,caiTABCDE
argr,42131,42145,-0.931824,ArcA,caiTABCDE
rdmglu,42131,42145,2.445628,ArcA,caiTABCDE
min,42181,42196,1.768339,CaiF,fixABCX
lexa,42181,42196,4.359626,CaiF,fixABCX
purr,42181,42196,3.864614,CaiF,fixABCX
stat,42181,42196,1.804883,CaiF,fixABCX
argr,42181,42196,-0.462394,CaiF,fixABCX
rdmglu,42181,42196,3.856386,CaiF,fixABCX
min,42181,42196,1.768339,CaiF,caiTABCDE
lexa,42181,42196,4.359626,CaiF,caiTABCDE
purr,42181,42196,3.864614,CaiF,caiTABCDE
stat,42181,42196,1.804883,CaiF,caiTABCDE
argr,42181,42196,-0.462394,CaiF,caiTABCDE
rdmglu,42181,42196,3.856386,CaiF,caiTABCDE
min,42188,42209,1.994705,CRP,fixABCX
