locus,gene_weight,gene_name,gene_product,cog,regulator,link
b4293,0.2147694302965175,fecI,RNA polymerase sigma factor FecI,Transcription,"RpoD,SlyA,Fur",
b4312,0.2141821243060102,fimB,regulator for fimA,Transcription,"RpoD,BasR,ppGpp,IHF,NagC,H-NS,NanR,DksA,micA",
b4294,0.1992693781705765,insA-7,KpLE2 phage-like element%3B IS1 repressor protein InsA,"Replication, recombination and repair",ppGpp,
b2079,0.1913615108632732,baeR,DNA-binding transcriptional activator BaeR,Transcription,"RpoS,BaeR,CpxR",
b4295,0.1887277784919954,yjhU,KpLE2 phage-like element%3B putative DNA-binding transcriptional regulator YjhU,Transcription,"YciT,YdcN",
b4310,0.1700757153918421,nanM,N-acetylneuraminate mutarotase,Cell wall/membrane/envelope biogenesis,"Crp,NagC,NanR",
b4302,0.1587465859421178,sgcA,putative PTS enzyme IIA component SgcA,Carbohydrate transport and metabolism,"Crp,SlyA",
b4292,0.1487369808522982,fecR,regulator for fec operon%2C periplasmic,Inorganic ion transport and metabolism,"RpoD,SlyA,Fur",
b4301,0.1360483425129502,sgcE,KpLE2 phage-like element%3B putative epimerase SgcE,Carbohydrate transport and metabolism,"Crp,SlyA",
b4303,0.1337872333079696,sgcQ,KpLE2 phage-like element%3B putative nucleoside triphosphatase,Function unknown,"Crp,SlyA",
b4566,0.1252395180679656,topAI,KpLE2 phage-like element%3B toxin of the TopAI-YjhQ toxin-antitoxin system%2C TopA inhibitor,Function unknown,,
b4565,0.1173463533484533,sgcB,putative PTS enzyme IIB component SgcB,Carbohydrate transport and metabolism,"Crp,SlyA",
b4298,0.1158640856240236,yjhH,KpLE2 phage-like element%3B putative 2-dehydro-3-deoxy-D-pentonate aldolase,Amino acid transport and metabolism,"YjhI,RpoH,Crp",
b4297,0.1140470127705567,yjhG,KpLE2 phage-like element%3B D-xylonate dehydratase,Amino acid transport and metabolism,"RpoH,Crp",
b4305,0.1135364445464465,sgcX,KpLE2 phage-like element%3B putative endoglucanase with Zn-dependent exopeptidase domain,Carbohydrate transport and metabolism,"Crp,SlyA",
