Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Direction
hisF,b2025,2095844,2096620,imidazole glycerol phosphate synthase subunit HisF,+
lacA,b0342,361249,361860,galactoside <i>O</i>-acetyltransferase,-
smrB,b2331,2448606,2449157,ribosome rescue factor SmrB,+
yfjU,b2638,2771840,2772154,CP4-57 prophage; putative arsenate reductase-like protein YfjU,-
ycjD,b1289,1351407,1351760,DUF559 domain-containing protein YcjD,-
fdhF,b4079,4297219,4299366,formate dehydrogenase H,-
fdoI,b3892,4081225,4081860,formate dehydrogenase O subunit &gamma;,-
insI2,b4708,279931,280104,,+
rplM,b3231,3378223,3378651,50S ribosomal subunit protein L13,-
phnN,b4094,4315525,4316082,"ribose 1,5-bisphosphate phosphokinase",-
cbrA,b3690,3869377,3870441,colicin M resistance protein,+
gltD,b3213,3359198,3360616,glutamate synthase subunit GltD,+
fimG,b4319,4548285,4548788,type 1 fimbriae minor subunit FimG,+
yacL,b0119,134388,134750,PF06062 family protein YacL,+
ydbD,b1407,1475144,1477450,DUF2773 domain-containing protein YdbD,+
hisJ,b2309,2426006,2426788,histidine ABC transporter periplasmic binding protein,-
yabR,b4726,85467,85511,protein YabR,-
hisB,b2022,2093468,2094535,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,+
ybhF,b0794,827245,828981,ABC exporter ATP binding subunit YbhF,-
alsA,b4087,4309448,4310980,D-allose ABC transporter ATP binding subunit,-
nanY,b4280,4505287,4506405,"KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase",+
cutC,b1874,1958520,1959266,PF03932 family protein CutC,-
metV,b2816,2947607,2947683,tRNA-initiator Met(CAU),+
talA,b2464,2578666,2579616,transaldolase A,+
yffQ,b2448,2563592,2563969,CPZ-55 prophage; uncharacterized protein YffQ,+
ydhX,b1671,1750345,1751013,putative 4Fe-4S ferredoxin-like protein YdhX,-
ubiE,b3833,4018855,4019610,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase",+
hycF,b2720,2844210,2844752,formate hydrogenlyase subunit HycF,-
yoeG,b4640,2067360,2067892,,-
rmf,b0953,1015715,1015882,ribosome modulation factor,+
insH7,b2030,2101895,2102875,IS<i>5</i> transposase and trans-activator,-
phnK,b4097,4318006,4318764,carbon-phosphorus lyase subunit PhnK,-
yeiQ,b2172,2266245,2267711,putative oxidoreductase YeiQ,+
gltK,b0653,685255,685929,glutamate/aspartate ABC transporter membrane subunit GltK,-
gpr,b3001,3147897,3148937,L-glyceraldehyde 3-phosphate reductase,+
yiaF,b3554,3718334,3719044,DUF3053 domain-containing protein YiaF,-
emrK,b2368,2482176,2483339,tripartite efflux pump membrane fusion protein EmrK,-
fucI,b2802,2935584,2937359,L-fucose isomerase,+
coaE,b0103,112599,113219,dephospho-CoA kinase,-
yeaC,b1777,1861702,1861974,DUF1315 domain-containing protein YeaC,-
yfdI,b2352,2469131,2470462,CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI,+
yaiS,b0364,384059,384616,putative deacetylase YaiS,-
