Gene name,Gene ID,Functional description,Fold Change
aroA,b0908,high-affinity leucine-specific transport system; periplasmic binding protein,-2.1
aroB,b3389,serine hydroxymethyltransferase,-2.33
aroD,b1693,"in glycine cleavage complex, carrier of aminomethyl moiety via covalently bound",-2.81
aroG,b0754,"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine",-3.28
aroH,b1704,2-isopropylmalate synthase,-2.19
aroK,b3390,ATP-binding component of putrescine transport system,-2.13
asd,b3433,"3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase,",-2.35
aspC,b0928,"glycine decarboxylase, P protein of glycine cleavage system",-2.6
cvpA,b2313,"histidine transport, membrane protein M",-2.34
cysD,b2752,"acetolactate synthase III, valine sensitive, large subunit",-2.31
cysH,b2762,3-phosphoadenosine 5-phosphosulfate reductase,-3.75
cysM,b2421,"ATP:sulfurylase (ATP:sulfate adenylyltransferase), subunit 2",-2.65
dadA,b1189,D-amino acid dehydrogenase,-2.05
dosC,b1490,"cysteine synthase B, O-acetylserine sulfhydrolase B",-2.67
dppA,b3544,dipeptide transporter,-5.26
dppB,b3543,dipeptide/heme transporter,-3.35
dppC,b3542,dipeptide/heme transporter,-2.75
dppD,b3541,dipeptide/heme transporter,-3.65
dppF,b3540,dipeptide ABC transporter,-3.04
fliY,b1920,"cell division inhibitor, a membrane ATPase, activates minC",-2.35
gcvB,b4443,putative outer membrane protein,-2.04
gcvH,b2904,peptidoglycan-associated lipoprotein,-3.81
gcvP,b2903,carboxy-terminal protease for penicillin-binding protein 3,-3.25
gcvR,b2479,"DNA-binding transcriptional repressor, regulatory protein accessory to GcvA",-2.58
gcvT,b2905,"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of",-5.58
gdhA,b1761,a minor lipoprotein,-2.72
glgS,b3049,"alanine racemase 2, catabolic",-3.03
gltB,b3212,"glutamate synthase, large subunit",-4.68
gltD,b3213,"glutamate synthase, 4Fe-4S protein, small subunit",-6.06
glyA,b2551,"riboflavin synthase, alpha chain",-3.97
gnsB,b1550,"tyrosine aminotransferase, tyrosine repressible",-4.36
gsiA,b0829,"glutathione transporter ATP-binding protein, ABC super family",-2.71
gsiB,b0830,"glutathione periplasmic binding protein,ABC superfamily transporter",-2.79
gsiC,b0831,"glutathione transporter, permease component, ABC superfamily",-3.26
gsiD,b0832,"glutathione transporter, permease component, ABC superfamily",-2.47
hisA,b2024,pantothenate synthetase,-2.31
