Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b0953,rmf,-5.4726,DOWN,3634.043791203045,97557.55805707684,--,--,--,--,--,--,K03812 ribosome modulation factor | (RefSeq) rmf; ribosome modulation factor,http://www.genome.jp/dbget-bin/www_bget?eco:b0953,ribosome modulation factor,-93923.51426587379,2.0,4.0,6.0
b1597,asr,-9.7266,DOWN,34.99100782699125,17025.571703719732,GO:0006812//GO:0006725//GO:0050896//GO:0043170//GO:0044699//GO:0044260//GO:0009268//GO:0044237//GO:0006281//GO:0046483//GO:0006259//GO:0009628//GO:0006950//GO:0051179//GO:0010447//GO:0006139//GO:0051234//GO:0006807//GO:0008150//GO:0006810//GO:0034641//GO:0033554//GO:0006811//GO:1901360//GO:0055085//GO:0044238//GO:0071704//GO:0090304//GO:0030001//GO:0044763//GO:0044765//GO:0009987//GO:1902578//GO:0008152//GO:0006974//GO:0051716//GO:0044710,cation transport//cellular aromatic compound metabolic process//response to stimulus//macromolecule metabolic process//single-organism process//cellular macromolecule metabolic process//response to pH//cellular metabolic process//DNA repair//heterocycle metabolic process//DNA metabolic process//response to abiotic stimulus//response to stress//localization//response to acidic pH//nucleobase-containing compound metabolic process//establishment of localization//nitrogen compound metabolic process//biological_process//transport//cellular nitrogen compound metabolic process//cellular response to stress//ion transport//organic cyclic compound metabolic process//transmembrane transport//primary metabolic process//organic substance metabolic process//nucleic acid metabolic process//metal ion transport//single-organism cellular process//single-organism transport//cellular process//single-organism localization//metabolic process//cellular response to DNA damage stimulus//cellular response to stimulus//single-organism metabolic process,GO:0019028//GO:0005886//GO:0044425//GO:0005575//GO:0044464//GO:0019012//GO:0031224//GO:0042597//GO:0016021//GO:0044423//GO:0019013//GO:0016020//GO:0071944//GO:0005623,viral capsid//plasma membrane//membrane part//cellular_component//cell part//virion//intrinsic component of membrane//periplasmic space//integral component of membrane//virion part//viral nucleocapsid//membrane//cell periphery//cell,GO:0016787//GO:0004175//GO:0022890//GO:0015075//GO:0008233//GO:0008236//GO:0022892//GO:0005215//GO:0008324//GO:0070001//GO:0022891//GO:0046873//GO:0005198//GO:0004190//GO:0004252//GO:0022857//GO:0003674//GO:0003824//GO:0017171//GO:0070011,"hydrolase activity//endopeptidase activity//inorganic cation transmembrane transporter activity//ion transmembrane transporter activity//peptidase activity//serine-type peptidase activity//substrate-specific transporter activity//transporter activity//cation transmembrane transporter activity//aspartic-type peptidase activity//substrate-specific transmembrane transporter activity//metal ion transmembrane transporter activity//structural molecule activity//aspartic-type endopeptidase activity//serine-type endopeptidase activity//transmembrane transporter activity//molecular_function//catalytic activity//serine hydrolase activity//peptidase activity, acting on L-amino acid peptides",--,--,acid shock-inducible periplasmic protein,-16990.580695892742,5.0,1.0,6.0
b1492,gadC,-5.3788,DOWN,296.1694470644235,7082.078214237753,GO:0051179//GO:0051234//GO:0006810//GO:0008150//GO:0003333//GO:0044699//GO:0006865//GO:0015711//GO:0006820//GO:0098656//GO:0044765//GO:0044763//GO:1902578//GO:0009987//GO:0046942//GO:0071702//GO:0055085//GO:0015849//GO:1903825//GO:0071705//GO:0034220//GO:0006811,localization//establishment of localization//transport//biological_process//amino acid transmembrane transport//single-organism process//amino acid transport//organic anion transport//anion transport//anion transmembrane transport//single-organism transport//single-organism cellular process//single-organism localization//cellular process//carboxylic acid transport//organic substance transport//transmembrane transport//organic acid transport//organic acid transmembrane transport//nitrogen compound transport//ion transmembrane transport//ion transport,GO:0005575//GO:0016020,cellular_component//membrane,GO:0022892//GO:0005215//GO:0005515//GO:0008509//GO:0015075//GO:0008514//GO:0005342//GO:0005488//GO:0046943//GO:0022857//GO:0003674//GO:0015171//GO:0022891,substrate-specific transporter activity//transporter activity//protein binding//anion transmembrane transporter activity//ion transmembrane transporter activity//organic anion transmembrane transporter activity//organic acid transmembrane transporter activity//binding//carboxylic acid transmembrane transporter activity//transmembrane transporter activity//molecular_function//amino acid transmembrane transporter activity//substrate-specific transmembrane transporter activity,K20265 glutamate:GABA antiporter | (RefSeq) gadC; glutamate:gamma-aminobutyric acid antiporter,http://www.genome.jp/dbget-bin/www_bget?eco:b1492,glutamate:gamma-aminobutyric acid antiporter,-6785.90876717333,21.0,6.0,27.0
b0836,bssR,-4.0902,DOWN,422.220365903642,4471.623868457707,--,--,--,--,--,--,K19688 biofilm regulator BssR | (RefSeq) bssR; repressor of biofilm formation by indole transport regulation,http://www.genome.jp/dbget-bin/www_bget?eco:b0836,repressor of biofilm formation by indole transport regulation,-4049.403502554065,27.0,24.0,51.0
b2579,grcA,-3.5008,DOWN,1294.402225978935,9670.932814847793,GO:0008152//GO:0008150,metabolic process//biological_process,--,--,GO:0003824//GO:0003674,catalytic activity//molecular_function,K06866 autonomous glycyl radical cofactor | (RefSeq) grcA; autonomous glycyl radical cofactor,http://www.genome.jp/dbget-bin/www_bget?eco:b2579,autonomous glycyl radical cofactor,-8376.530588868858,16.0,42.0,58.0
b3506,slp,-3.847,DOWN,451.252773310581,3808.69974087254,--,--,GO:0016020//GO:0005575//GO:0019867,membrane//cellular_component//outer membrane,--,--,K07285 outer membrane lipoprotein | (RefSeq) slp; outer membrane lipoprotein,http://www.genome.jp/dbget-bin/www_bget?eco:b3506,outer membrane lipoprotein,-3357.4469675619594,33.0,28.0,61.0
b1205,ychH,-2.984,DOWN,2601.1252520017997,12779.293346261933,--,--,--,--,--,--,no KO assigned | (RefSeq) ychH; DUF2583 family putative inner membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1205,DUF2583 family putative inner membrane protein,-10178.168094260134,11.0,61.0,72.0
b4518,ymdF,-3.6651,DOWN,429.544553426403,3202.2860728064297,--,--,--,--,--,--,no KO assigned | (RefSeq) ymdF; KGG family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b4518,KGG family protein,-2772.7415193800266,39.0,35.0,74.0
b4015,aceA,-3.0735,DOWN,1649.93306853577,9438.057258339488,GO:0071704//GO:0044281//GO:0044763//GO:0009987//GO:0008152//GO:0044710//GO:0043436//GO:0006082//GO:0044699//GO:0044237//GO:0019752//GO:0008150,organic substance metabolic process//small molecule metabolic process//single-organism cellular process//cellular process//metabolic process//single-organism metabolic process//oxoacid metabolic process//organic acid metabolic process//single-organism process//cellular metabolic process//carboxylic acid metabolic process//biological_process,--,--,GO:0004451//GO:0003674//GO:0003824//GO:0016830//GO:0016833//GO:0016829,isocitrate lyase activity//molecular_function//catalytic activity//carbon-carbon lyase activity//oxo-acid-lyase activity//lyase activity,K01637 isocitrate lyase [EC:4.1.3.1] | (RefSeq) aceA; isocitrate lyase,http://www.genome.jp/dbget-bin/www_bget?eco:b4015,isocitrate lyase,-7788.124189803718,17.0,58.0,75.0
b4704,arrS,-4.2098,DOWN,203.8618150991215,2200.290813306077,--,--,--,--,--,--,--,--,antisense sRNA ArrS%2C function unknown,-1996.4289982069554,62.0,19.0,81.0
