Gene_id,Genename,log2FoldChange(KANvsH2O),significant(KANvsH2O),KAN_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b3510,hdeA,-10.281,DOWN,19.868227014695567,15955.150669841467,--,--,--,--,--,--,K19777 acid stress chaperone HdeA | (RefSeq) hdeA; stress response protein acid-resistance protein,http://www.genome.jp/dbget-bin/www_bget?eco:b3510,stress response protein acid-resistance protein,-15935.28244282677,6.0,1.0,7.0
b1597,asr,-10.129,DOWN,22.577881741551703,17025.571703719732,GO:0006812//GO:0006725//GO:0050896//GO:0043170//GO:0044699//GO:0044260//GO:0009268//GO:0044237//GO:0006281//GO:0046483//GO:0006259//GO:0009628//GO:0006950//GO:0051179//GO:0010447//GO:0006139//GO:0051234//GO:0006807//GO:0008150//GO:0006810//GO:0034641//GO:0033554//GO:0006811//GO:1901360//GO:0055085//GO:0044238//GO:0071704//GO:0090304//GO:0030001//GO:0044763//GO:0044765//GO:0009987//GO:1902578//GO:0008152//GO:0006974//GO:0051716//GO:0044710,cation transport//cellular aromatic compound metabolic process//response to stimulus//macromolecule metabolic process//single-organism process//cellular macromolecule metabolic process//response to pH//cellular metabolic process//DNA repair//heterocycle metabolic process//DNA metabolic process//response to abiotic stimulus//response to stress//localization//response to acidic pH//nucleobase-containing compound metabolic process//establishment of localization//nitrogen compound metabolic process//biological_process//transport//cellular nitrogen compound metabolic process//cellular response to stress//ion transport//organic cyclic compound metabolic process//transmembrane transport//primary metabolic process//organic substance metabolic process//nucleic acid metabolic process//metal ion transport//single-organism cellular process//single-organism transport//cellular process//single-organism localization//metabolic process//cellular response to DNA damage stimulus//cellular response to stimulus//single-organism metabolic process,GO:0019028//GO:0005886//GO:0044425//GO:0005575//GO:0044464//GO:0019012//GO:0031224//GO:0042597//GO:0016021//GO:0044423//GO:0019013//GO:0016020//GO:0071944//GO:0005623,viral capsid//plasma membrane//membrane part//cellular_component//cell part//virion//intrinsic component of membrane//periplasmic space//integral component of membrane//virion part//viral nucleocapsid//membrane//cell periphery//cell,GO:0016787//GO:0004175//GO:0022890//GO:0015075//GO:0008233//GO:0008236//GO:0022892//GO:0005215//GO:0008324//GO:0070001//GO:0022891//GO:0046873//GO:0005198//GO:0004190//GO:0004252//GO:0022857//GO:0003674//GO:0003824//GO:0017171//GO:0070011,"hydrolase activity//endopeptidase activity//inorganic cation transmembrane transporter activity//ion transmembrane transporter activity//peptidase activity//serine-type peptidase activity//substrate-specific transporter activity//transporter activity//cation transmembrane transporter activity//aspartic-type peptidase activity//substrate-specific transmembrane transporter activity//metal ion transmembrane transporter activity//structural molecule activity//aspartic-type endopeptidase activity//serine-type endopeptidase activity//transmembrane transporter activity//molecular_function//catalytic activity//serine hydrolase activity//peptidase activity, acting on L-amino acid peptides",--,--,acid shock-inducible periplasmic protein,-17002.99382197818,5.0,2.0,7.0
b0812,dps,-6.7167,DOWN,223.49176637198434,15483.337037963533,GO:0008150//GO:0006873//GO:0065008//GO:0006879//GO:0006875//GO:0048878//GO:0044699//GO:0055065//GO:0030003//GO:0055080//GO:0055072//GO:0042592//GO:0098771//GO:0009987//GO:0046916//GO:0044763//GO:0055082//GO:0055076//GO:0065007//GO:0050801//GO:0019725,biological_process//cellular ion homeostasis//regulation of biological quality//cellular iron ion homeostasis//cellular metal ion homeostasis//chemical homeostasis//single-organism process//metal ion homeostasis//cellular cation homeostasis//cation homeostasis//iron ion homeostasis//homeostatic process//inorganic ion homeostasis//cellular process//cellular transition metal ion homeostasis//single-organism cellular process//cellular chemical homeostasis//transition metal ion homeostasis//biological regulation//ion homeostasis//cellular homeostasis,--,--,GO:0008199//GO:0005506//GO:0043169//GO:0043167//GO:0046914//GO:0005488//GO:0046872//GO:0003674,ferric iron binding//iron ion binding//cation binding//ion binding//transition metal ion binding//binding//metal ion binding//molecular_function,K04047 starvation-inducible DNA-binding protein | (RefSeq) dps; Fe-binding and storage protein; stress-inducible DNA-binding protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0812,Fe-binding and storage protein%3B stress-inducible DNA-binding protein,-15259.845271591548,8.0,12.0,20.0
b1492,gadC,-10.105,DOWN,9.872839760472067,7082.078214237753,GO:0051179//GO:0051234//GO:0006810//GO:0008150//GO:0003333//GO:0044699//GO:0006865//GO:0015711//GO:0006820//GO:0098656//GO:0044765//GO:0044763//GO:1902578//GO:0009987//GO:0046942//GO:0071702//GO:0055085//GO:0015849//GO:1903825//GO:0071705//GO:0034220//GO:0006811,localization//establishment of localization//transport//biological_process//amino acid transmembrane transport//single-organism process//amino acid transport//organic anion transport//anion transport//anion transmembrane transport//single-organism transport//single-organism cellular process//single-organism localization//cellular process//carboxylic acid transport//organic substance transport//transmembrane transport//organic acid transport//organic acid transmembrane transport//nitrogen compound transport//ion transmembrane transport//ion transport,GO:0005575//GO:0016020,cellular_component//membrane,GO:0022892//GO:0005215//GO:0005515//GO:0008509//GO:0015075//GO:0008514//GO:0005342//GO:0005488//GO:0046943//GO:0022857//GO:0003674//GO:0015171//GO:0022891,substrate-specific transporter activity//transporter activity//protein binding//anion transmembrane transporter activity//ion transmembrane transporter activity//organic anion transmembrane transporter activity//organic acid transmembrane transporter activity//binding//carboxylic acid transmembrane transporter activity//transmembrane transporter activity//molecular_function//amino acid transmembrane transporter activity//substrate-specific transmembrane transporter activity,K20265 glutamate:GABA antiporter | (RefSeq) gadC; glutamate:gamma-aminobutyric acid antiporter,http://www.genome.jp/dbget-bin/www_bget?eco:b1492,glutamate:gamma-aminobutyric acid antiporter,-7072.205374477281,21.0,3.0,24.0
b2215,ompC,-5.9194,DOWN,578.1339775341147,23188.717996015566,GO:0051234//GO:0051179//GO:0006810//GO:0008150,establishment of localization//localization//transport//biological_process,GO:0016020//GO:0005575,membrane//cellular_component,GO:0015267//GO:0022829//GO:0022857//GO:0015288//GO:0003674//GO:0005215//GO:0022803,channel activity//wide pore channel activity//transmembrane transporter activity//porin activity//molecular_function//transporter activity//passive transmembrane transporter activity,K09475 outer membrane pore protein C | (RefSeq) ompC; outer membrane porin protein C,http://www.genome.jp/dbget-bin/www_bget?eco:b2215,outer membrane porin protein C,-22610.58401848145,2.0,24.0,26.0
b3509,hdeB,-9.7993,DOWN,8.718524738899056,4978.358334216883,--,--,--,--,--,--,K19778 acid stress chaperone HdeB | (RefSeq) hdeB; acid-resistance protein,http://www.genome.jp/dbget-bin/www_bget?eco:b3509,acid-resistance protein,-4969.639809477984,25.0,4.0,29.0
b3506,slp,-7.262,DOWN,38.245838729371435,3808.69974087254,--,--,GO:0016020//GO:0005575//GO:0019867,membrane//cellular_component//outer membrane,--,--,K07285 outer membrane lipoprotein | (RefSeq) slp; outer membrane lipoprotein,http://www.genome.jp/dbget-bin/www_bget?eco:b3506,outer membrane lipoprotein,-3770.4539021431688,31.0,9.0,40.0
b1480,sra,-5.4564,DOWN,533.4324771036423,15543.6704845723,GO:1901564//GO:0010467//GO:0008150//GO:1901576//GO:0043604//GO:0006807//GO:0043043//GO:0043170//GO:1901566//GO:0044260//GO:0019538//GO:0044237//GO:0006412//GO:0034645//GO:0006518//GO:0044271//GO:0009059//GO:0009987//GO:0008152//GO:0034641//GO:0044267//GO:0044249//GO:0043603//GO:0009058//GO:0071704//GO:0044238,organonitrogen compound metabolic process//gene expression//biological_process//organic substance biosynthetic process//amide biosynthetic process//nitrogen compound metabolic process//peptide biosynthetic process//macromolecule metabolic process//organonitrogen compound biosynthetic process//cellular macromolecule metabolic process//protein metabolic process//cellular metabolic process//translation//cellular macromolecule biosynthetic process//peptide metabolic process//cellular nitrogen compound biosynthetic process//macromolecule biosynthetic process//cellular process//metabolic process//cellular nitrogen compound metabolic process//cellular protein metabolic process//cellular biosynthetic process//cellular amide metabolic process//biosynthetic process//organic substance metabolic process//primary metabolic process,GO:0044464//GO:0005575//GO:0005840//GO:0005737//GO:0030529//GO:0043232//GO:0043228//GO:0044424//GO:0005622//GO:0005623//GO:0032991//GO:0043226//GO:0044444//GO:0043229,cell part//cellular_component//ribosome//cytoplasm//ribonucleoprotein complex//intracellular non-membrane-bounded organelle//non-membrane-bounded organelle//intracellular part//intracellular//cell//macromolecular complex//organelle//cytoplasmic part//intracellular organelle,GO:0003735//GO:0003674//GO:0005198,structural constituent of ribosome//molecular_function//structural molecule activity,K02972 stationary-phase-induced ribosome-associated protein | (RefSeq) sra; stationary-phase-induced ribosome-associated protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1480,stationary-phase-induced ribosome-associated protein,-15010.238007468657,7.0,37.0,44.0
b0897,ycaC,-7.8553,DOWN,19.585078573876935,2995.364136721433,GO:0008150//GO:0008152,biological_process//metabolic process,--,--,GO:0005488//GO:0003674//GO:0003824//GO:0005515,binding//molecular_function//catalytic activity//protein binding,no KO assigned | (RefSeq) ycaC; putative isochorismatase family hydrolase,http://www.genome.jp/dbget-bin/www_bget?eco:b0897,putative isochorismatase family hydrolase,-2975.779058147556,45.0,8.0,53.0
b0953,rmf,-5.1373,DOWN,4158.137313003313,97557.55805707684,--,--,--,--,--,--,K03812 ribosome modulation factor | (RefSeq) rmf; ribosome modulation factor,http://www.genome.jp/dbget-bin/www_bget?eco:b0953,ribosome modulation factor,-93399.42074407352,1.0,53.0,54.0
